hf_energy_frac_gt,hf_energy_frac_degraded,hf_ratio_degraded_over_gt,file
0.0006727752014355194,0.0006392077719492981,0.9544497533989067,000000.npy
0.00040163750379775405,0.0004967814612056191,1.2563755040238136,000001.npy
0.0004860793810990144,0.000517083817184561,1.0686039011151356,000002.npy
0.0005249067903053311,0.0004895016604707978,0.9347040467538829,000003.npy
0.016279655265874177,0.001018709153771631,0.06065093240911458,000004.npy
0.004951361151967299,0.0004201241891745148,0.08463925311210947,000005.npy
0.004863999677213594,0.00043663791284623553,0.08917022740794123,000006.npy
0.005123923326646206,0.0004876311293260039,0.09524104692980902,000007.npy
0.004269739141670742,0.0006823523622406739,0.15859483430653412,000008.npy
0.00311995769558207,0.0005344910254212686,0.17039769841811886,000009.npy
0.002817230119838272,0.0006465561835858303,0.23060536472285045,000010.npy
0.003173516081342804,0.00045300779589846173,0.14219593801787794,000011.npy
0.0021204141676954085,0.0010665785538029207,0.5054336484237382,000012.npy
0.0016379427331468398,0.0005614017979386731,0.3456676544287675,000013.npy
0.0012875436880815988,0.0004947471882191616,0.38750966057152386,000014.npy
0.0019322379931353245,0.0005612894625178373,0.29081570024318637,000015.npy
0.0002789587418716439,0.00042632178270412044,1.5451924215161033,000016.npy
0.0013229417467288342,0.0005476294936297257,0.408662689848541,000017.npy
0.00128501980793018,0.0005221471284553312,0.40427984172564185,000018.npy
0.0013034545548509112,0.000525208770638768,0.3991061233354695,000019.npy
0.00027540553261882843,0.00039294253902840434,1.4337372831401396,000020.npy
0.0005174139189971328,0.0003951448564708298,0.7640361579199741,000021.npy
0.0005672384932439112,0.0004050477739134489,0.714906118917598,000022.npy
0.0005636096704805051,0.00035879540508668866,0.6385679900821357,000023.npy
0.01776200999368904,0.0014492861063475212,0.07890501815556007,000024.npy
0.020119769836595233,0.0017369760412035732,0.0809907385617166,000025.npy
0.01991286355805502,0.00168136189013862,0.07979908749927254,000026.npy
0.019907702237585173,0.0017614645103057568,0.08323135172059763,000027.npy
