file,shape,dtype,min,max,mean,std
000000.npy,"(128, 128)",float32,-0.0026427102275192738,1.3257757425308228,0.218441441655159,0.24486540257930756
000001.npy,"(128, 128)",float32,-0.0031231592874974012,1.4091064929962158,0.3267541229724884,0.17107371985912323
000002.npy,"(128, 128)",float32,0.0002783304953482002,1.3459364175796509,0.3046870231628418,0.16135874390602112
000003.npy,"(128, 128)",float32,-0.0010054984595626593,1.3146018981933594,0.2989100217819214,0.15143395960330963
000004.npy,"(128, 128)",float32,-0.04995102062821388,1.3318248987197876,0.35625845193862915,0.19592374563217163
000005.npy,"(128, 128)",float32,-0.006049090996384621,0.9321689605712891,0.26851266622543335,0.06995169818401337
000006.npy,"(128, 128)",float32,-0.011915026232600212,0.843887448310852,0.26834845542907715,0.0682278499007225
000007.npy,"(128, 128)",float32,-0.016929149627685547,1.1249449253082275,0.268328458070755,0.07084177434444427
000008.npy,"(128, 128)",float32,-0.04200931265950203,1.5704659223556519,0.5252891778945923,0.24984639883041382
000009.npy,"(128, 128)",float32,-0.0018216996686533093,1.4595404863357544,0.5277301073074341,0.237280935049057
000010.npy,"(128, 128)",float32,-0.0033746028784662485,1.4051101207733154,0.49756935238838196,0.2280275523662567
000011.npy,"(128, 128)",float32,0.00444362498819828,1.297839641571045,0.5365456342697144,0.23353734612464905
000012.npy,"(128, 128)",float32,0.020599503070116043,1.4307210445404053,0.2527472972869873,0.1914825439453125
000013.npy,"(128, 128)",float32,0.019195398315787315,1.681573748588562,0.7818526029586792,0.29231834411621094
000014.npy,"(128, 128)",float32,0.026551134884357452,1.6335859298706055,0.7956736087799072,0.27382922172546387
000015.npy,"(128, 128)",float32,0.007161327172070742,1.585473656654358,0.7587977647781372,0.2962689697742462
000016.npy,"(128, 128)",float32,-0.025143014267086983,1.6520973443984985,0.798212468624115,0.24099025130271912
000017.npy,"(128, 128)",float32,-0.011460768058896065,1.2589951753616333,0.5915948152542114,0.21643401682376862
000018.npy,"(128, 128)",float32,-0.0030410438776016235,1.4285067319869995,0.5999810695648193,0.2192416489124298
