L_shape,gamma_scale,ratio_mean,ratio_std,ratio_max,file,gt_shape,degraded_shape,scale_factor
59.19787337518417,0.017064281663695113,1.0101691851659005,0.13469167662909812,2.6194108980204933,000000.npy,"(256, 256)","(128, 128)",2.0
65.38192254769564,0.015366238638286308,1.0046742244978435,0.12473789116386635,1.9303740419685638,000001.npy,"(256, 256)","(128, 128)",2.0
72.82885102238235,0.013767671444933918,1.0026836925882,0.1182231922130435,2.2748941075040343,000002.npy,"(256, 256)","(128, 128)",2.0
89.84715290622061,0.011166364692235062,1.0032660759098668,0.10642957878577132,2.2743824990748935,000003.npy,"(256, 256)","(128, 128)",2.0
12.296128710719213,0.08655898552420373,1.0643404270748902,0.3611576190474187,9.433537803519092,000004.npy,"(256, 256)","(128, 128)",2.0
40.06441542731889,0.02536770954865383,1.0163424537968313,0.17298580476413616,6.087555015305063,000005.npy,"(256, 256)","(128, 128)",2.0
41.43216465704515,0.024505178495515312,1.0153025903764723,0.1694928894636004,4.316553431292269,000006.npy,"(256, 256)","(128, 128)",2.0
40.03732139440074,0.02542063082566161,1.0177739664154246,0.1743027837473837,6.473781482746541,000007.npy,"(256, 256)","(128, 128)",2.0
23.6692927665032,0.04361749139782278,1.0323951736355024,0.22954989506891949,5.208356159259067,000008.npy,"(256, 256)","(128, 128)",2.0
28.339659202155413,0.03616271282645429,1.0248389573271288,0.210938831328009,4.655336398911383,000009.npy,"(256, 256)","(128, 128)",2.0
26.772903445042388,0.03829498278227379,1.025267876459377,0.21761271855233794,5.361011399460286,000010.npy,"(256, 256)","(128, 128)",2.0
32.565391296843465,0.03151296058744622,1.0262318924521923,0.1954737920236059,4.462437108695969,000011.npy,"(256, 256)","(128, 128)",2.0
40.949588853275415,0.0247038028349816,1.0116105692048762,0.16068540727343503,2.995880684329805,000012.npy,"(256, 256)","(128, 128)",2.0
26.495370863557795,0.038582144967992886,1.0222482396385217,0.22873008386346907,7.598675277812614,000013.npy,"(256, 256)","(128, 128)",2.0
32.134374251661676,0.031766388805427724,1.0207930264974103,0.21078662909311777,6.712775698923864,000014.npy,"(256, 256)","(128, 128)",2.0
27.048539803443266,0.037923554344133734,1.025776769165345,0.2307663800716332,6.2399159270712685,000015.npy,"(256, 256)","(128, 128)",2.0
52.478490961857716,0.019203835196683405,1.0077882918021552,0.1507875221553791,5.575887460013024,000016.npy,"(256, 256)","(128, 128)",2.0
28.47249796980018,0.03633680800664707,1.0345996921982776,0.22706063934180012,4.843576543024494,000017.npy,"(256, 256)","(128, 128)",2.0
30.160054401190475,0.03420986686521057,1.0317714457122342,0.21469836182614105,5.494514659247383,000018.npy,"(256, 256)","(128, 128)",2.0
29.412565997108736,0.035136361593953835,1.033450554280444,0.22090291516103225,5.756154158826533,000019.npy,"(256, 256)","(128, 128)",2.0
105.20386396915673,0.009509907919037181,1.000479059073594,0.09788443383675913,1.7936621527837824,000020.npy,"(256, 256)","(128, 128)",2.0
75.25951773687687,0.013347632044646453,1.0045363506093758,0.11848382117217447,2.934821995828485,000021.npy,"(256, 256)","(128, 128)",2.0
66.72539914441029,0.01505709655899618,1.0046907778549468,0.1267137266284905,3.6763443702573713,000022.npy,"(256, 256)","(128, 128)",2.0
74.94616116268746,0.01343051187339007,1.0065653073604797,0.11990756450850751,3.26388426092523,000023.npy,"(256, 256)","(128, 128)",2.0
13.577401892497315,0.07799859389366352,1.0590182563439567,0.31106531536308135,6.105966034383903,000024.npy,"(256, 256)","(128, 128)",2.0
14.525630851765317,0.0730161068455626,1.060605014271697,0.31147568478059556,7.450076861323464,000025.npy,"(256, 256)","(128, 128)",2.0
14.742584947678726,0.07203006459418404,1.0619093460665439,0.3114352698725881,6.724381873304092,000026.npy,"(256, 256)","(128, 128)",2.0
14.112345671959043,0.07504817469118016,1.0591057832915025,0.3155403966487838,6.76221480980911,000027.npy,"(256, 256)","(128, 128)",2.0
81.60786152751595,0.012323058545637228,1.005658455387835,0.11332249735980082,3.047385964260385,000028.npy,"(256, 256)","(128, 128)",2.0
40.58685381649139,0.025016683851944086,1.0153484904722354,0.17206277910874462,5.032987903749671,000029.npy,"(256, 256)","(128, 128)",2.0
48.20437630837671,0.021072496086983028,1.0157865311337255,0.1593665566517223,4.276925101566933,000030.npy,"(256, 256)","(128, 128)",2.0
42.99726835167192,0.023657494340412477,1.017207632682875,0.16877385805888498,6.5971860127980415,000031.npy,"(256, 256)","(128, 128)",2.0
58.19794318096632,0.017327350151973682,1.0084161396212725,0.14821881092886097,5.300528475158838,000032.npy,"(256, 256)","(128, 128)",2.0
22.83363164679412,0.04508459466535025,1.0294450275336269,0.27047687995004466,7.190009077403322,000033.npy,"(256, 256)","(128, 128)",2.0
