file,global_std,flattest_blocks_mean_var,flattest_blocks_mean_std,min_block_var
000860.npy,0.24899245230525408,6.067881883418802e-05,0.007789661021776751,5.658502794404846e-06
002029.npy,0.13448304169566336,0.00011793364169782137,0.010859725673230488,7.865169166814887e-05
002918.npy,0.31787816321228063,4.6989330658361044e-05,0.006854876414521347,5.638703763839728e-06
001940.npy,0.1210977686720946,5.277894935958828e-06,0.0022973669571835554,3.858181447036679e-06
000981.npy,0.10180239200149414,8.729179198615956e-05,0.009343007652044365,2.7457706689767297e-05
002598.npy,0.21671006532827636,3.591398815494366e-05,0.005992828059851514,3.5283816441893486e-06
002710.npy,0.13519182295091253,9.05925844791479e-05,0.009518013683492366,4.032133518107935e-05
000130.npy,0.16975446584370776,0.0033262814782917217,0.05767392372894115,0.0013530617154596779
001610.npy,0.22622763267250384,0.0003040740760090633,0.017437719920020026,2.884787339485495e-05
001629.npy,0.1842330770719393,0.00022620032792879715,0.015039957710339386,0.00010219630727591314
003106.npy,0.12825735682765513,2.0993182807216477e-06,0.001448902440028882,1.5662854280746187e-06
000240.npy,0.21666518484156563,8.38515244558372e-06,0.0028957127698692286,6.283260938210432e-06
000052.npy,0.10555342518332862,0.001255945090072609,0.03543931559825343,0.0006842216016007506
000559.npy,0.0670186493318254,6.454215266754714e-06,0.0025405147641284656,4.865055792418159e-06
002075.npy,0.2864615185047118,0.0024857793540540222,0.04985759073655708,2.881464881643314e-06
