file,min,max,mean,std
002414.npy,-0.005448122974485159,1.7634851932525635,0.7071040249389355,0.25138679321825896
003066.npy,0.0253855399787426,1.2609144449234009,0.36283772985575524,0.23638927493550096
003082.npy,-0.003783908672630787,1.404181718826294,0.5165423855074459,0.1924791152472825
001230.npy,-0.009529157541692257,1.35677969455719,0.20825485089599383,0.2150245184939796
000925.npy,0.02465991862118244,1.0767593383789062,0.20336751457443825,0.13870058880665448
002501.npy,0.02443603426218033,1.102625846862793,0.3658778020794671,0.11392702585897685
001403.npy,-0.005511264782398939,2.802309989929199,0.5301663638227749,0.41353041067189944
002044.npy,0.021409422159194946,1.7528527975082397,0.6105467041170414,0.28216239211138
003169.npy,0.0045502809807658195,1.256439208984375,0.15210672149225957,0.1545275478616108
001283.npy,0.047673169523477554,0.8560153841972351,0.2445048735507953,0.09685506833121958
002923.npy,-0.008313187398016453,1.8650274276733398,0.46336864737406813,0.2316694833112271
000905.npy,0.042155977338552475,1.7376128435134888,0.6889822707983058,0.20936609500165615
003058.npy,0.011182083748281002,1.2326525449752808,0.5318042928200271,0.14214546412197276
002348.npy,-0.004883132874965668,1.8507379293441772,0.43648553818684377,0.3430324475070734
002954.npy,-0.01407618634402752,1.5329573154449463,0.4295639023870459,0.30640669581223307
003168.npy,0.01266790647059679,1.5528974533081055,0.40284857774588545,0.36400513431354103
000881.npy,-0.00027643752400763333,1.2276297807693481,0.36759672434320656,0.18305200425129728
002844.npy,0.03969883173704147,1.5399770736694336,0.598050406253833,0.2033679428571013
000544.npy,0.029602469876408577,1.2694653272628784,0.6649783433127823,0.14473465235034672
001571.npy,0.026649944484233856,1.299206256866455,0.1909078519428249,0.09866655201716464
001507.npy,0.0026264304760843515,0.8689112663269043,0.19584162680367,0.13125211075390983
001064.npy,-0.011065536178648472,1.4709594249725342,0.5751168172072125,0.32599825556040474
002534.npy,0.0472172386944294,1.175142765045166,0.4780507612188103,0.14149107081086224
001912.npy,0.018772704526782036,1.3265403509140015,0.433643843410664,0.23112158396059176
001954.npy,-0.009076145477592945,1.0946727991104126,0.05609213962283288,0.056294538478096796
000385.npy,0.012659026309847832,1.3794084787368774,0.3264371042185985,0.14956846599425486
000463.npy,0.0017707941588014364,1.615815281867981,0.5426027390723931,0.31613015716047
001647.npy,-0.005836801137775183,1.718570590019226,0.34896039031830384,0.34801302919952515
000067.npy,0.023658355697989464,1.972350835800171,0.45278434105932774,0.2266019146824523
003154.npy,-0.0034201659727841616,1.6644710302352905,0.29039404549786063,0.21251840561991692
002682.npy,0.011802572757005692,1.591335654258728,0.22801224338405746,0.2657044106854038
000636.npy,-0.0027690117713063955,1.2026019096374512,0.13503988038051418,0.1097901188624388
001172.npy,-0.020591644570231438,1.7676550149917603,0.3689182787909018,0.2739489508875756
001021.npy,0.0004276994150131941,1.1862332820892334,0.220391720786985,0.132009977744027
001770.npy,0.04821360111236572,1.3079144954681396,0.5917299352936425,0.1423221655318297
001437.npy,0.006693508476018906,1.414992094039917,0.3832274299866185,0.16990243119996784
000767.npy,-0.004106389358639717,1.1151635646820068,0.2509285893536344,0.23255706238128868
000440.npy,-0.012056397274136543,1.5755449533462524,0.5676063508259248,0.258321419327662
002182.npy,-0.003850312205031514,2.173588991165161,0.6242961641560072,0.2771744694035104
000021.npy,0.00935346819460392,1.357407808303833,0.3827952435870543,0.15801536827745802
001138.npy,0.01693589799106121,1.5769355297088623,0.5259645174551224,0.26590332730847427
001374.npy,-0.007233089301735163,1.8289228677749634,0.47689841947364187,0.31641862926482567
000287.npy,0.014256511814892292,1.1131172180175781,0.17946400410181695,0.10687797362241183
000261.npy,-0.017529716715216637,1.7410006523132324,0.25017789274603675,0.23198015188751428
001776.npy,0.02810342237353325,1.6096012592315674,0.5885283850921041,0.25468230435451494
003131.npy,-0.0013458397006615996,1.925841212272644,0.8199543138277718,0.2540624668122688
000792.npy,0.06693112850189209,1.943975567817688,0.6933754581000358,0.2237600602142345
000090.npy,0.014425993897020817,1.3038978576660156,0.4806474998637782,0.18000527957136178
001958.npy,0.011032558977603912,1.4704649448394775,0.36395302074481606,0.25681095258267467
000830.npy,0.03689641132950783,1.1031663417816162,0.33041955420685554,0.09813322197237506
002813.npy,-0.014878573827445507,1.4689010381698608,0.4659231717263097,0.3045516832227009
000016.npy,0.0014606405748054385,1.633302927017212,0.7981013901656482,0.23810390083961763
000693.npy,-0.005499911494553089,1.0395537614822388,0.15998448603761872,0.13965323149789066
002496.npy,0.0030977753922343254,1.2643500566482544,0.46668882267999834,0.2680637532068963
002340.npy,0.01474116649478674,1.0571227073669434,0.4924308179271861,0.12819222042415343
003147.npy,-0.011529330164194107,1.071946144104004,0.1634652970611108,0.1268126943141157
002213.npy,-0.0019204388372600079,0.7143865823745728,0.10850423726629543,0.05069649192445101
003167.npy,-0.009917193092405796,1.4125088453292847,0.5008191384683203,0.26917464481203374
002071.npy,-0.011731131933629513,1.3277287483215332,0.10974319955363487,0.11854287584381
001372.npy,0.0058767725713551044,1.4627307653427124,0.4498133311168999,0.19232036983158665
001421.npy,0.020462021231651306,1.6898027658462524,0.6615457838595376,0.26677912713415597
000141.npy,0.0038119570817798376,1.4998538494110107,0.4696422873520447,0.2628370866350648
002992.npy,0.011290095746517181,2.127609968185425,0.45225504381164683,0.33485412143265036
003170.npy,-0.013500583358108997,1.316507339477539,0.1540432479788787,0.17280561698016256
002401.npy,0.03507007658481598,1.2273956537246704,0.5255070110192719,0.16411358199289058
002018.npy,0.0026625990867614746,1.4740886688232422,0.4551588107981388,0.2102083338759119
001347.npy,0.015936505049467087,1.7174501419067383,0.6022094680456576,0.2330538892336122
001513.npy,-0.004737306386232376,0.8418155312538147,0.13520471166828862,0.1060329679731272
001543.npy,0.01827276311814785,1.9286178350448608,0.816347849437193,0.21933624142356625
000215.npy,-0.021401099860668182,1.2242555618286133,0.3162141937995788,0.16728344001852846
000435.npy,0.011358978226780891,1.1533465385437012,0.20892632095745967,0.12482411410182986
001000.npy,0.010919785127043724,1.055996060371399,0.27689204157792346,0.1401334520059541
000143.npy,-0.013941802084445953,1.8428360223770142,0.46634472009356287,0.2941994700981301
000265.npy,-0.016084827482700348,1.5665563344955444,0.24550760537387567,0.15418937419325388
003119.npy,-0.019865278154611588,1.0782268047332764,0.09414018431050275,0.07270379178563556
001953.npy,-0.019169555976986885,1.0700773000717163,0.053085420275685385,0.0579682154366584
002320.npy,-0.006879052612930536,1.2380038499832153,0.5412160101085703,0.22805983588616116
000933.npy,-0.015135060995817184,1.0900812149047852,0.1543593562003851,0.15486710326545522
002597.npy,-0.019600683823227882,1.3385447263717651,0.3021790529481887,0.21993024059669697
000454.npy,-0.0007677272660657763,1.4218688011169434,0.8040290164902402,0.1781626350959813
001212.npy,-0.006177747156471014,1.1831560134887695,0.2910324087904068,0.23332017911215644
001658.npy,-0.0003718638909049332,1.3298680782318115,0.4648255579795908,0.2720870660056422
002890.npy,0.05102161690592766,1.357569694519043,0.468167695997181,0.13561541297687088
002327.npy,0.0014865855919197202,1.5407730340957642,0.7144496274214092,0.2259771046838381
002128.npy,-0.0022730077616870403,1.5593115091323853,0.4730158151415367,0.2660577691196006
002525.npy,0.0037794988602399826,1.7192025184631348,0.6170095864535199,0.26019425568366206
000426.npy,-0.037273768335580826,1.2903519868850708,0.10142162862027941,0.171570822427402
001753.npy,0.027046848088502884,1.4480172395706177,0.5267185203174449,0.3118746749091061
001312.npy,0.018773488700389862,1.2067394256591797,0.5039684309622317,0.18302169039099891
000070.npy,-0.02270873822271824,1.3567489385604858,0.16972231197324764,0.16312561231169495
001991.npy,-0.01087102759629488,1.5493773221969604,0.5312292288002425,0.27481604504057927
002014.npy,-0.0004965405096299946,1.1491730213165283,0.3124016668333063,0.2227696370402795
002599.npy,-0.01322784461081028,2.054816961288452,0.3003572856162733,0.2510193103621052
000249.npy,-0.025946633890271187,1.5035511255264282,0.1388258223827912,0.1572750068488156
002301.npy,0.0002573431411292404,1.5431768894195557,0.41075509141932365,0.19156224372696437
002727.npy,-0.00598211120814085,1.5345474481582642,0.19124934935597726,0.12779931679433962
002423.npy,0.016546152532100677,1.3636804819107056,0.4119212104833423,0.1900467285672672
002300.npy,0.04976404830813408,1.4950871467590332,0.6396353943084705,0.18403872615110622
002131.npy,0.17351217567920685,1.5734279155731201,0.8126565724523971,0.15855460188433976
001038.npy,0.06282049417495728,1.475682020187378,0.6211741529609753,0.19839424940610623
002286.npy,-0.01751880533993244,1.4036178588867188,0.17636059612888322,0.17401259780880227
000101.npy,0.015084805898368359,1.3369637727737427,0.5185784527811279,0.21755777204236568
001161.npy,0.021263260394334793,1.589980125427246,0.5988973710597065,0.23068922781987616
001025.npy,0.03199159353971481,1.6311582326889038,0.464579938210818,0.24997595477517415
001026.npy,0.041395559906959534,1.4841102361679077,0.4665372788811055,0.23856895547483195
002098.npy,0.014012940227985382,1.5542933940887451,0.6817712390899828,0.23284468083417423
000580.npy,0.009349117055535316,1.321516990661621,0.601702778027061,0.22442555316579793
002563.npy,-0.007587042637169361,1.524429202079773,0.3994241984447015,0.24694692094085705
002673.npy,0.010528609156608582,1.2529650926589966,0.5490571062379104,0.17993446220966125
